Title,Actors,BoxOffice,Director,Genre,Language,Metascore,Plot,Rated,Ratings - IMDB,Ratings - Rotten Tomatoes,Ratings - Metacritic,Released,Runtime,Title,Writer,imdbRating,imdbVotes
Caddyshack,,,,,,,,,,,,,,,,,
Step Brothers,,,,,,,,,,,,,,,,,
Old School,,,,,,,,,,,,,,,,,
Anchorman: The Legend of Ron Burgundy,,,,,,,,,,,,,,,,,
Proof,,,,,,,,,,,,,,,,,
Indiana Jones and the Raiders of the Lost Ark,,,,,,,,,,,,,,,,,
Batman Begins,,,,,,,,,,,,,,,,,
National Treasure,,,,,,,,,,,,,,,,,
The Fast and the Furious,,,,,,,,,,,,,,,,,
